BIVAR CAPITAL — PORTFOLIO,,,,,,,,
Auto-updating via GOOGLEFINANCE,,,,,,,,

Strategy,Ticker,GF Ticker,Qty,Avg Cost,CCY,Live Price (formula),Mkt Value USD (formula),Weight % (formula),P&L % (formula)
Value (VC2),SGU,SGU,423,11.84,USD,"=GOOGLEFINANCE(""SGU"", ""price"")",=G32 * D32,=H32 / H55 * 100,=(H32 / (E32 * D32) - 1) * 100
Value (VC2),AMCX,AMCX,696,7.25,USD,"=GOOGLEFINANCE(""AMCX"", ""price"")",=G33 * D33,=H33 / H55 * 100,=(H33 / (E33 * D33) - 1) * 100
Value (VC2),NUS,NUS,690,7.28,USD,"=GOOGLEFINANCE(""NUS"", ""price"")",=G34 * D34,=H34 / H55 * 100,=(H34 / (E34 * D34) - 1) * 100
Value (VC2),SSTK,SSTK,304,16.23,USD,"=GOOGLEFINANCE(""SSTK"", ""price"")",=G35 * D35,=H35 / H55 * 100,=(H35 / (E35 * D35) - 1) * 100
Value (VC2),CMCSA,CMCSA,181,27.61,USD,"=GOOGLEFINANCE(""CMCSA"", ""price"")",=G36 * D36,=H36 / H55 * 100,=(H36 / (E36 * D36) - 1) * 100
Value (VC2),GPK,GPK,506,9.93,USD,"=GOOGLEFINANCE(""GPK"", ""price"")",=G37 * D37,=H37 / H55 * 100,=(H37 / (E37 * D37) - 1) * 100
Value (VC2),EBS,EBS,598,8.33,USD,"=GOOGLEFINANCE(""EBS"", ""price"")",=G38 * D38,=H38 / H55 * 100,=(H38 / (E38 * D38) - 1) * 100
Value (VC2),WNC,WNC,510,9.83,USD,"=GOOGLEFINANCE(""WNC"", ""price"")",=G39 * D39,=H39 / H55 * 100,=(H39 / (E39 * D39) - 1) * 100
Value (VC2),ANGI,ANGI,675,7.4,USD,"=GOOGLEFINANCE(""ANGI"", ""price"")",=G40 * D40,=H40 / H55 * 100,=(H40 / (E40 * D40) - 1) * 100
Value (VC2),ACCO,ACCO,1492,3.35,USD,"=GOOGLEFINANCE(""ACCO"", ""price"")",=G41 * D41,=H41 / H55 * 100,=(H41 / (E41 * D41) - 1) * 100
Value (VC2),CALM,CALM,57,88.31,USD,"=GOOGLEFINANCE(""CALM"", ""price"")",=G42 * D42,=H42 / H55 * 100,=(H42 / (E42 * D42) - 1) * 100
Value (VC2),DXC,DXC,330,15.17,USD,"=GOOGLEFINANCE(""DXC"", ""price"")",=G43 * D43,=H43 / H55 * 100,=(H43 / (E43 * D43) - 1) * 100
Value (VC2),CNXC,CNXC,128,39.16,USD,"=GOOGLEFINANCE(""CNXC"", ""price"")",=G44 * D44,=H44 / H55 * 100,=(H44 / (E44 * D44) - 1) * 100
Value (VC2),VSNT,VSNT,14,43.54,USD,"=GOOGLEFINANCE(""VSNT"", ""price"")",=G45 * D45,=H45 / H55 * 100,=(H45 / (E45 * D45) - 1) * 100
Mom + Value,SENEA,SENEA,42,118.57,USD,"=GOOGLEFINANCE(""SENEA"", ""price"")",=G46 * D46,=H46 / H55 * 100,=(H46 / (E46 * D46) - 1) * 100
Mom + Value,EIX,EIX,77,64.79,USD,"=GOOGLEFINANCE(""EIX"", ""price"")",=G47 * D47,=H47 / H55 * 100,=(H47 / (E47 * D47) - 1) * 100
Mom + Value,IMKTA,IMKTA,59,84.99,USD,"=GOOGLEFINANCE(""IMKTA"", ""price"")",=G48 * D48,=H48 / H55 * 100,=(H48 / (E48 * D48) - 1) * 100
Mom + Value,EBF,EBF,242,20.63,USD,"=GOOGLEFINANCE(""EBF"", ""price"")",=G49 * D49,=H49 / H55 * 100,=(H49 / (E49 * D49) - 1) * 100
Mom + Value,DINO,DINO,87,57.56,USD,"=GOOGLEFINANCE(""DINO"", ""price"")",=G50 * D50,=H50 / H55 * 100,=(H50 / (E50 * D50) - 1) * 100
Mom + Value,CYH,CYH,1552,3.23,USD,"=GOOGLEFINANCE(""CYH"", ""price"")",=G51 * D51,=H51 / H55 * 100,=(H51 / (E51 * D51) - 1) * 100
Mom + Value,GM,GM,62,79.9,USD,"=GOOGLEFINANCE(""GM"", ""price"")",=G52 * D52,=H52 / H55 * 100,=(H52 / (E52 * D52) - 1) * 100
Mom + Value,M,M,235,21.28,USD,"=GOOGLEFINANCE(""M"", ""price"")",=G53 * D53,=H53 / H55 * 100,=(H53 / (E53 * D53) - 1) * 100
Mom + Value,UHS,UHS,23,213.75,USD,"=GOOGLEFINANCE(""UHS"", ""price"")",=G54 * D54,=H54 / H55 * 100,=(H54 / (E54 * D54) - 1) * 100
TOTAL,,,,,,,=SUM(H5:H54),100%,


ANNUAL RETURNS (USD),,,,
Year,Discretionary,Value (VC2),Mom + Value,S&P 500
2024,+20.6%,—,—,+25.0%
2025,+46.1%,+23.1%,+24.0%,+17.9%
2026 YTD,+5.0%,+9.4%,+3.4%,+0.5%
